gemeindename,plz,bundesland,partnergemeinde,land,kontinent,seit,form,latitude,longitude
Adenau,53518,Rheinland-Pfalz,Castione della Presolana,Italien,Europa,2002,p,50.3833,6.9333
Adendorf,21365,Niedersachsen,Saint Romain de Colbosc,Frankreich,Europa,2000,f,53.2833,10.45
Adenstedt,31079,Niedersachsen,Combloux,Frankreich,Europa,1971,p,52,9.9333
Adlkofen,84166,Bayern,Badia Calavena,Italien,Europa,1988,f,48.55,12.2667
Affalterbach,71563,Baden-Württemberg,Téglás,Ungarn,Europa,1996,f,48.9227,9.3236
Affing,86444,Bayern,Lobez,Polen,Europa,2000,k,48.4667,10.9833
Ahaus,48683,Nordrhein-Westfalen,Argentrè du Plessis,Frankreich,Europa,1976,p,52.092,6.9739
Ahaus,48683,Nordrhein-Westfalen,Haaksbergen,Niederlande,Europa,1988,p,52.092,6.9739
Ahaus,48683,Nordrhein-Westfalen,Nagele,Niederlande,Europa,2000,k,52.092,6.9739
Ahlen,59227,Nordrhein-Westfalen,Differdingen,Luxemburg,Europa,1982,p,51.7634,7.8887
Ahlen,59227,Nordrhein-Westfalen,Bagamoyo,Tansania,Afrika,1988,k,51.7634,7.8887
Ahnatal,34292,Hessen,Krummnußbaum,Österreich,Europa,1996,p,51.364798,9.397858
Ahnatal,34292,Hessen,Wisches-Hersbach (Elsaß),Frankreich,Europa,1990,f,51.364798,9.397858
Ahorn,96482,Bayern,Irdning,Österreich,Europa,1975,p,50.225,10.927
Ahrensbök,23623,Schleswig-Holstein,N¢rre Alslev,Dänemark,Europa,1973,p,54.006014,10.546967
Ahrensburg,22926,Schleswig-Holstein,Feldkirchen,Österreich,Europa,2000,f,53.6751,10.2259
Ahrensburg,22926,Schleswig-Holstein,Esplugues de Lobregat,Spanien,Europa,1988,p,53.6751,10.2259
Ahrensburg,22926,Schleswig-Holstein,Viljandi,Estland,Europa,1989,p,53.6751,10.2259
Ahrweiler (Kreis) (Bad Neuenahr-Ahrweiler, Stadt),53458,Rheinland-Pfalz,Kivu,Ruanda,Afrika,1988,50.5448,7.1339
Aicha vorm Wald,94529,Bayern,Großramnig,Österreich,Europa,1979,p,48.6833,13.3
Aichach,86551,Bayern,Brixlegg (Tirol),Österreich,Europa,1991,f,48.4553,11.1359
Aichtal,72631,Baden-Württemberg,Ligny,Frankreich,Europa,2000,f,48.6241,9.2377
Aichtal,72631,Baden-Württemberg,Sümeg,Ungarn,Europa,1990,p,48.6241,9.2377
Aidenbach,94501,Bayern,Volyne (Wohlau),Tschech. Republik,Europa,1991,f,48.5703,13.09
