"gemeindename","plz","bundesland","latitude","longitude","partnergemeinde","land","kontinent","seit","form","latitude_partner","longitude_partner"
"Bacharach","55422","Rheinland-Pfalz","50.0572","7.7695","Overijse","Belgien","Europa","1960","p","50.756072","4.537426"
"Backnang","71522","Baden-Württemberg","48.9474","9.4372","Annonay","Frankreich","Europa","1967","p","45.24","4.6708"
"Backnang","71522","Baden-Württemberg","48.9474","9.4372","Oulu","Finnland","Europa","1996","f","65.2173","25.9694"
"Backnang","71522","Baden-Württemberg","48.9474","9.4372","Chelmsford","Großbritannien","Europa","1990","p","51.731434","0.467706"
"Backnang","71522","Baden-Württemberg","48.9474","9.4372","Bácsalmás (Almasch)","Ungarn","Europa","1988","p","47.928974","16.203671"
"Bad Abbach","93077","Bayern","48.9333","12.05","Charbonnières-les-Bains","Frankreich","Europa","1978","p","43.0870085","1.0957518"
"Bad Aibling","83043","Bayern","47.8638","12.0105","Cavaion Veronese","Italien","Europa","2006","p","45.474758","9.443576"
"Bad Arolsen","34454","Hessen","51.3667","9.0167","Heusden-Zolder (Limburg)","Belgien","Europa","1973","p","51.015773","5.276627"
"Bad Arolsen","34454","Hessen","51.3667","9.0167","Hermann (Missouri)","USA","Amerika","1987","p","38.7042","-91.4374"
"Bad Bederkesa","27624","Niedersachsen","53.6249","8.8419","Bodmin","Großbritannien","Europa","1975","p","50.474489","-4.738486"
"Bad Bellingen","79415","Baden-Württemberg","47.7269","7.5622","Reigoldswil","Schweiz","Europa","2000","p","47.395468","7.691461"
"Bad Bellingen","79415","Baden-Württemberg","47.7269","7.5622","Petit-Landau","Frankreich","Europa","2000","p","47.7306","7.5203"
"Bad Belzig","14806","Brandenburg","52.17003","12.568637","Val de Reuil","Frankreich","Europa","2000","k","49.2741","1.2113"
"Bad Belzig","14806","Brandenburg","52.17003","12.568637","Sztum (Stuhm)","Polen","Europa","2000","k","-9.687","124.4804"
"Bad Belzig","14806","Brandenburg","52.17003","12.568637","Tasnad","Rumänien","Europa","2000","k","47.48421","22.589986"
