municipality,plz,bundesland,state,latitude,longitude,municipality_place_name,partnergemeinde,land,country,kontinent,continent,seit,form,partner_latitude,partner_longitude,partner_place_name
Alpirsbach,72275,Baden-Württemberg,Baden-Wurttemberg,48.345100,8.402000,"Alpirsbach, 72275, Baden-Württemberg, Germany",Neuville sur Saone,Frankreich,France,Europa,Europe,1973,p,45.876100,4.841100,"Neuville-sur-Saône, 69250, Rhône, France"
Alsbach-Hähnlein,64665,Hessen,Hesse,49.745987,8.582479,"64665, Hessen, Germany",Diosd (Nussdorf),Ungarn,Hungary,Europa,Europe,1989,p,47.409500,18.949000,"Diósd, Pest, Hungary"
Alsdorf,52477,Nordrhein-Westfalen,North Rhine-Westphalia,50.870500,6.175400,"Alsdorf, 52477, Nordrhein-Westfalen, Germany",St. Brieuc,Frankreich,France,Europa,Europe,1970,p,47.523301,-1.872582,"Saint-Brieuc, Plessé, 44630, Loire-Atlantique, France"
Alsdorf,52477,Nordrhein-Westfalen,North Rhine-Westphalia,50.870500,6.175400,"Alsdorf, 52477, Nordrhein-Westfalen, Germany",Brunssum,Niederlande,Netherlands,Europa,Europe,1988,p,50.946700,5.970800,"Brunssum, 6441, Limburg, Netherlands"
Alsfeld,36304,Hessen,Hesse,50.761900,9.282300,"Alsfeld, 36304, Hessen, Germany",Nakskov,Dänemark,Denmark,Europa,Europe,1962,p,55.939705,9.318333,Denmark
Alsfeld,36304,Hessen,Hesse,50.761900,9.282300,"Alsfeld, 36304, Hessen, Germany",Amstetten,Österreich,Austria,Europa,Europe,1979,p,48.122900,14.872100,"Amstetten, 3300, Niederösterreich, Austria"
Alsfeld,36304,Hessen,Hesse,50.761900,9.282300,"Alsfeld, 36304, Hessen, Germany",Chaville,Frankreich,France,Europa,Europe,1974,p,48.808600,2.188600,"Chaville, 92370, Hauts-de-Seine, France"
Alsfeld,36304,Hessen,Hesse,50.761900,9.282300,"Alsfeld, 36304, Hessen, Germany",New Mills,Großbritannien,United Kingdom,Europa,Europe,1962,p,53.363449,-1.995337,"New Mills, SK22 4NX, Derbyshire, United Kingdom"
Alsheim,67577,Rheinland-Pfalz,Rheinland-Pfalz,49.768100,8.340300,"Alsheim, 67577, Rheinland-Pfalz, Germany",Pesmes,Frankreich,France,Europa,Europe,1972,p,47.280100,5.567000,"Pesmes, 70140, Haute-Saône, France"
Altdorf,84032,Bayern,Bavaria,48.555900,12.110000,"Altdorf, 84032, Bayern, Germany",Molsheim,Frankreich,France,Europa,Europe,2000,k,48.542800,7.492200,"Molsheim, 67120, Bas-Rhin, France"
Altdorf b. Nürnberg,90518,Bayern,Bavaria,49.393182,11.367701,"90518, Bayern, Germany",Dunaharaszti (Harras),Ungarn,Hungary,Europa,Europe,1993,p,47.354500,19.098200,"Dunaharaszti, Pest, Hungary"
Altena,58762,Nordrhein-Westfalen,North Rhine-Westphalia,51.294700,7.673400,"Altena, 58762, Nordrhein-Westfalen, Germany",Péronne,Frankreich,France,Europa,Europe,1967,p,47.964359,7.307174,"Europe, Rouffach, 68250, Haut-Rhin, France"
Altena,58762,Nordrhein-Westfalen,North Rhine-Westphalia,51.294700,7.673400,"Altena, 58762, Nordrhein-Westfalen, Germany",Pinsk,,,,,1990,p,48.433308,16.376322,"Pinskerweg, Harmannsdorf, 2111, Niederösterreich, Austria"
Altena,58762,Nordrhein-Westfalen,North Rhine-Westphalia,51.294700,7.673400,"Altena, 58762, Nordrhein-Westfalen, Germany",Blackburn,Großbritannien,United Kingdom,Europa,Europe,1971,p,53.751587,-2.489141,"Blackburn, BB2 1DF, Blackburn with Darwen, United Kingdom"
Altenbeken,33184,Nordrhein-Westfalen,North Rhine-Westphalia,51.764500,8.942000,"Altenbeken, 33184, Nordrhein-Westfalen, Germany",Betton,Frankreich,France,Europa,Europe,1993,p,48.182500,-1.643900,"Betton, 35830, Ille-et-Vilaine, France"
Altenberg,1773,Sachsen,Saxony,50.766700,13.766700,"Altenberg, 01773, Sachsen, Germany",Duchcove (Dux),Tschech. Republik,Czech Republic,Europa,Europe,2000,p,49.809111,15.530056,Czech Republic
Altenberg,1773,Sachsen,Saxony,50.766700,13.766700,"Altenberg, 01773, Sachsen, Germany",Krupka (Graupen),Tschech. Republik,Czech Republic,Europa,Europe,1995,f,50.704300,13.859200,"Krupka, Ústecký, Czech Republic"
Altenberg,1773,Sachsen,Saxony,50.766700,13.766700,"Altenberg, 01773, Sachsen, Germany",Liebenau,Österreich,Austria,Europa,Europe,1991,p,48.532100,14.805800,"Liebenau, 4252, Oberösterreich, Austria"
Altenberge,48341,Nordrhein-Westfalen,North Rhine-Westphalia,52.050000,7.466700,"Altenberge, 48341, Nordrhein-Westfalen, Germany",Gooik,Belgien,Belgium,Europa,Europe,1979,p,50.500204,4.863757,Belgium
Altenburger Land (Kreis),4600,Thüringen,Thuringia,53.575414,7.231583,"Im Altenbürger Land, Norden, 26506, Niedersachsen, Germany",Dobelé,Lettland,Latvia,Europa,Europe,1991,k,56.622034,23.273367,"Dobele, Dobeles novads, Latvia"
Altenburger Land (Kreis),4600,Thüringen,Thuringia,53.575414,7.231583,"Im Altenbürger Land, Norden, 26506, Niedersachsen, Germany",Wojewodschaft Jelenia Góra (Hirschberg),Polen,Poland,Europa,Europe,2000,p,50.899700,15.729000,"Jelenia Góra, Dolnośląskie, Poland"
Altendiez,65624,Rheinland-Pfalz,Rheinland-Pfalz,50.366700,7.983300,"Altendiez, 65624, Rheinland-Pfalz, Germany",Burton Latimer,Großbritannien,United Kingdom,Europa,Europe,2000,p,52.368263,-0.687856,"Burton Latimer, NN15 5PG, Northamptonshire, United Kingdom"
